ID;GERMAN;ENGLISH
1;Mann;man
2;Frau;woman
3;Junge;boy
4;Mädchen;girl
5;sein;to be
6;ein;a
7;der/die/das;the
8;ich;I
9;du;you
10;er;he
11;sie (f);she
12;es;it
13;essen;to eat
14;trinken;to drink
15;Apfel;apple
16;Brot;bread
17;Wasser;water
18;wir;we
19;ihr;you
20;sie (pl);they
21;Zeitung;newspaper
22;Milch;milk
23;Sandwich;sandwich
24;Reis;rice
25;Kind;child
26;Kinder;children
27;Buch;book
28;Speisekarte;menu
29;haben;to have
30;Hallo!;Hello!
31;Tschüss!;Bye! / Goodbye!
32;danke;thanks
33;ja;yes
34;nein;no
35;bitte;please
36;Wie geht es dir?;How are you?
37;Mir geht es gut.;I’m fine.
38;Guten Morgen!;Good morning!
39;Gute Nacht;Good night!
40;Willkommen!;Welcome!
41;entschuldigung;Sorry! / Excuse me!
42;nicht;not
43;sprechen;to speak / to talk
44;Englisch;English
45;Sprechen Sie Englisch?;Do you speak English?
46;Fisch;fish
47;Orange;orange
48;Wein;wine
49;Kaffee;coffee
50;Ei;egg
51;Hähnchen;chicken
52;Teller;plate
53;Zucker;sugar
54;Mittagessen;lunch
55;Frühstück;breakfast
56;Abendessen;dinner
57;Käse;cheese
58;Frucht;fruit
59;Nudeln;pasta
60;Saft;juice
61;Bier;beer
62;Rindfleisch;beef
63;Suppe;soup
64;Tomate;tomato
65;Erdbeere;strawberry
66;Zitrone;lemon
67;Essen;food
68;Öl;oil
69;Salz;salt
70;Fleisch;meat
71;Mahlzeit;meal
72;Tee;tea
73;Schweinefleisch;pork
74;vegetarisch;vegetarian
75;Katze;cat
76;Hund;dog
77;Pferd;horse
78;Vogel;bird
79;Elefant;elephant
80;Ente;duck
81;Schildkröte;turtle
82;Krabbe;crab
83;Spinne;spider
84;Tier;animal
85;Bär;bear
86;Maus;mouse
87;mein;my
88;dein;your
89;sein (m);his
90;ihr (f);her
91;sein (n);its
92;unser;our
93;euer;your
94;ihr (pl);their
95;Es ist mir.;It’s mine.
96;Es ist dir.;It’s yours.
97;Es ist uns.;It’s ours.
98;Es ist ihnen.;It’s theirs.
99;mir/mich;me
100;dir/dich;you
101;ihm/ihn;him
102;ihr/sie;her
103;ihm/es;it
104;uns;us
105;euch;you
106;ihnen/sie;them
107;Ihnen/Sie;you
108;tragen (Kleidung);to wear
109;Hemd;shirt
110;Schuh;shoe
111;Rock;skirt
112;Mantel;coat
113;Kleid;dress
114;Hose;pants
115;Kleidung;clothes
116;Anzug;suit
117;Hut;hat
118;schreiben;to write
119;tun;to do
120;laufen;to walk
121;schwimmen;to swim
122;sehen;to see
123;kochen;to cook
124;schlafen;to sleep
125;rennen;to run
126;wollen;to want
127;mögen;to like
128;bezahlen;to pay
129;gehen;to go
130;spielen;to play
131;benutzen;to use
132;lieben;to love
133;es regnet;it rains
134;berühren;to touch
135;hören;to hear
136;zuhören;to listen
137;sagen;to say
138;erzählen;to tell
139;machen;to make
140;finden;to find
141;arbeiten;to work
142;unterstützen;to support
143;wissen;to know
144;brauchen;to need
145;nehmen;to take
146;gestalten;to design
147;zeigen;to show
148;rot;red
149;orange;orange
150;weiß;white
151;schwarz;black
152;blau;blue
153;gelb;yellow
154;grün;green
155;grau;gray
156;braun;brown
157;pink;pink
158;lila;purple
159;Farbe;color
160;farbig;colorful
161;Was?;What?
162;Wo?;Where?
163;Wie?;How?
164;Wer?;Who?
165;Warum;Why?
166;Wessen?;Whose?
167;Welches?;Which?
168;Wann?;When?
169;Frage;question
170;Antwort;answer
171;und;and
172;oder;or
173;aber;but
174;wenn (falls);if
175;weil;because
176;wenn (sobald);when
177;immer wenn;whenever
178;dass;that
179;aus Deutschland;from Germany
180;in;in
181;auf;on
182;an;at
183;von;of
184;zwischen;between
185;von mir;by me
186;für;for
187;ein Buch über …;a book about …
188;mit;with
189;ohne;without
190;zu;to
191;wie zum Beispiel;like for example
192;dasselbe wie;the same as
193;nach;after
194;heraus;out
195;unter;under
196;ausschalten;to turn off
197;während;during
198;unter ihnen;among them
199;hinter;behind
200;zu … hin;towards
201;nahe bei;near
202;über;over
203;außer;except
204;gegen;against
205;heute;today
206;morgen;tomorrow
207;heute Abend;tonight
208;Nacht;night
209;Morgen;morning
210;Nachmittag;afternoon
211;Abend;evening
212;Zeit;time
213;Kalender;calendar
214;Montag;Monday
215;Dienstag;Tuesday
216;Mittwoch;Wednesday
217;Donnerstag;Thursday
218;Freitag;Friday
219;Samstag;Saturday
220;Sonntag;Sunday
221;Jahr;year
222;Alter;age
223;Woche;week
224;Monat;month
225;Stunde;hour
226;Januar;January
227;Februar;February
228;März;March
229;April;April
230;Mai;May
231;Juni;June
232;Juli;July
233;August;August
234;September;September
235;Oktober;October
236;November;November
237;Dezember;December
238;Datum;date
